sid|fname
270|datasets/VCTK-Corpus/wav22/p270/p270_207.wav|I have a kind of love affair with Hollywood.
254|datasets/VCTK-Corpus/wav22/p254/p254_392.wav|Then, suddenly, they weren't.
278|datasets/VCTK-Corpus/wav22/p278/p278_093.wav|He is keen to stay in public service.
283|datasets/VCTK-Corpus/wav22/p283/p283_074.wav|We made a world record together.
253|datasets/VCTK-Corpus/wav22/p253/p253_274.wav|They are wrong.
330|datasets/VCTK-Corpus/wav22/p330/p330_169.wav|We really need research to help with that.
339|datasets/VCTK-Corpus/wav22/p339/p339_017.wav|No decisions have been taken.
227|datasets/VCTK-Corpus/wav22/p227/p227_284.wav|So is that it, then ?
284|datasets/VCTK-Corpus/wav22/p284/p284_332.wav|I was on a roll.
298|datasets/VCTK-Corpus/wav22/p298/p298_136.wav|She is on a life support machine.
330|datasets/VCTK-Corpus/wav22/p330/p330_068.wav|Last night they were being comforted by relatives.
241|datasets/VCTK-Corpus/wav22/p241/p241_035.wav|A new school will be built.
362|datasets/VCTK-Corpus/wav22/p362/p362_389.wav|It's always the way.
286|datasets/VCTK-Corpus/wav22/p286/p286_146.wav|I couldn't really work outside Edinburgh.
374|datasets/VCTK-Corpus/wav22/p374/p374_260.wav|I had a sense of deja vu.
282|datasets/VCTK-Corpus/wav22/p282/p282_330.wav|I'd never seen a play about me.
238|datasets/VCTK-Corpus/wav22/p238/p238_313.wav|The ambition this year is to improve on last.
305|datasets/VCTK-Corpus/wav22/p305/p305_022.wav|I hadn't seen them in eight years.
292|datasets/VCTK-Corpus/wav22/p292/p292_103.wav|This is too much like Scotland.
264|datasets/VCTK-Corpus/wav22/p264/p264_009.wav|He does not even trust his own members.)
363|datasets/VCTK-Corpus/wav22/p363/p363_218.wav|Why is he not fighting for the Union?
286|datasets/VCTK-Corpus/wav22/p286/p286_248.wav|The ethos of the school was outstanding.
323|datasets/VCTK-Corpus/wav22/p323/p323_370.wav|The punishment was swift.
232|datasets/VCTK-Corpus/wav22/p232/p232_039.wav|Local managers are already involved in talks with potential investors.
313|datasets/VCTK-Corpus/wav22/p313/p313_400.wav|The Open champion is back.
329|datasets/VCTK-Corpus/wav22/p329/p329_222.wav|The time is up for Iraq to comply.
285|datasets/VCTK-Corpus/wav22/p285/p285_339.wav|She does not want to speak.
269|datasets/VCTK-Corpus/wav22/p269/p269_018.wav|It's a record label, not a form of music.
282|datasets/VCTK-Corpus/wav22/p282/p282_276.wav|She has fallen in love with Scotland, however.
286|datasets/VCTK-Corpus/wav22/p286/p286_229.wav|Among them are many criminals.
262|datasets/VCTK-Corpus/wav22/p262/p262_223.wav|Surely, the Scottish Parliament is entitled to take a view on that.
246|datasets/VCTK-Corpus/wav22/p246/p246_303.wav|The decision was announced at its annual conference in Dunfermline.
318|datasets/VCTK-Corpus/wav22/p318/p318_110.wav|Then came the crunch.
247|datasets/VCTK-Corpus/wav22/p247/p247_108.wav|However, there is an issue, isn't there ?)
279|datasets/VCTK-Corpus/wav22/p279/p279_368.wav|We work on the same level.
263|datasets/VCTK-Corpus/wav22/p263/p263_194.wav|It seemed the tough times were behind him.
301|datasets/VCTK-Corpus/wav22/p301/p301_003.wav|He is married, with one daughter, and lives in Kent.
246|datasets/VCTK-Corpus/wav22/p246/p246_259.wav|Councillors are expected to take a decision within the next few weeks.
273|datasets/VCTK-Corpus/wav22/p273/p273_062.wav|Had I heard ?
294|datasets/VCTK-Corpus/wav22/p294/p294_071.wav|This is the real thing now.
311|datasets/VCTK-Corpus/wav22/p311/p311_196.wav|Four minutes later, the show was over.
298|datasets/VCTK-Corpus/wav22/p298/p298_074.wav|The pressure was now back on Mr Arafat.
262|datasets/VCTK-Corpus/wav22/p262/p262_197.wav|Many complicated ideas about the rainbow have been formed.
244|datasets/VCTK-Corpus/wav22/p244/p244_003.wav|This would indicate a surge in inflation was unlikely.
258|datasets/VCTK-Corpus/wav22/p258/p258_241.wav|He got the same story.
341|datasets/VCTK-Corpus/wav22/p341/p341_291.wav|What's the big idea?
227|datasets/VCTK-Corpus/wav22/p227/p227_091.wav|There's not much money in cycling.
330|datasets/VCTK-Corpus/wav22/p330/p330_198.wav|Thousands of homes were left without power supplies.
299|datasets/VCTK-Corpus/wav22/p299/p299_324.wav|Ask her to bring these things with her from the store.
292|datasets/VCTK-Corpus/wav22/p292/p292_082.wav|They have known the hard times.
343|datasets/VCTK-Corpus/wav22/p343/p343_372.wav|It has been handled entirely properly.
236|datasets/VCTK-Corpus/wav22/p236/p236_003.wav|This big issue is whether it can be enforced.
261|datasets/VCTK-Corpus/wav22/p261/p261_007.wav|That was the theory, anyway.
230|datasets/VCTK-Corpus/wav22/p230/p230_415.wav|We believe in the medium term.
249|datasets/VCTK-Corpus/wav22/p249/p249_044.wav|Ask her to bring these things with her from the store.
323|datasets/VCTK-Corpus/wav22/p323/p323_088.wav|He must be seen to be impartial.
263|datasets/VCTK-Corpus/wav22/p263/p263_393.wav|I saw the whole thing.
345|datasets/VCTK-Corpus/wav22/p345/p345_004.wav|This club have been fair to me.
262|datasets/VCTK-Corpus/wav22/p262/p262_304.wav|I could hardly move for the next couple of days.
323|datasets/VCTK-Corpus/wav22/p323/p323_180.wav|We are in a very strong position.
245|datasets/VCTK-Corpus/wav22/p245/p245_168.wav|It was served by sheriff officers, not by the council.
301|datasets/VCTK-Corpus/wav22/p301/p301_271.wav|Please call Stella.
266|datasets/VCTK-Corpus/wav22/p266/p266_361.wav|I was as strong as a horse.
261|datasets/VCTK-Corpus/wav22/p261/p261_065.wav|My view has now completely changed.
241|datasets/VCTK-Corpus/wav22/p241/p241_076.wav|The appeal tribunal will give its decision at a later date.
245|datasets/VCTK-Corpus/wav22/p245/p245_053.wav|I might get an injury very easily.
257|datasets/VCTK-Corpus/wav22/p257/p257_260.wav|Ferguson should take note.
285|datasets/VCTK-Corpus/wav22/p285/p285_280.wav|Off with their heads.
238|datasets/VCTK-Corpus/wav22/p238/p238_066.wav|This wasn't just a big crowd.
301|datasets/VCTK-Corpus/wav22/p301/p301_409.wav|That's the sort of game you want.
267|datasets/VCTK-Corpus/wav22/p267/p267_166.wav|That goes back a long way.
329|datasets/VCTK-Corpus/wav22/p329/p329_173.wav|Northern Ireland is a society divided by religion.
263|datasets/VCTK-Corpus/wav22/p263/p263_267.wav|We have a free vote on these things in our party.
231|datasets/VCTK-Corpus/wav22/p231/p231_074.wav|Had this been common practice ?
264|datasets/VCTK-Corpus/wav22/p264/p264_137.wav|The referee had been right.)
260|datasets/VCTK-Corpus/wav22/p260/p260_205.wav|When a man looks for something beyond his reach, his friends say he is looking for the pot of gold at the end of the rainbow.
283|datasets/VCTK-Corpus/wav22/p283/p283_299.wav|The early physical reports were clear.
270|datasets/VCTK-Corpus/wav22/p270/p270_004.wav|Everything depends on the weather.
293|datasets/VCTK-Corpus/wav22/p293/p293_045.wav|The cost of war is more than that.
257|datasets/VCTK-Corpus/wav22/p257/p257_188.wav|I came to complete.
312|datasets/VCTK-Corpus/wav22/p312/p312_372.wav|The police have to act to help them.
264|datasets/VCTK-Corpus/wav22/p264/p264_245.wav|I hope we've reached the bottom now.)
307|datasets/VCTK-Corpus/wav22/p307/p307_066.wav|Whether this return was too soon.
267|datasets/VCTK-Corpus/wav22/p267/p267_402.wav|A lot of their players have developed in the English league.
347|datasets/VCTK-Corpus/wav22/p347/p347_259.wav|I know a lot of people who don't.
292|datasets/VCTK-Corpus/wav22/p292/p292_312.wav|It may have been a cry for help.
262|datasets/VCTK-Corpus/wav22/p262/p262_027.wav|It is a private matter between the firm and our staff.
317|datasets/VCTK-Corpus/wav22/p317/p317_320.wav|This is a dream come true for me.
301|datasets/VCTK-Corpus/wav22/p301/p301_379.wav|We kept going right to the final whistle.
351|datasets/VCTK-Corpus/wav22/p351/p351_416.wav|It is the voice of the survivors.
284|datasets/VCTK-Corpus/wav22/p284/p284_233.wav|We have always maintained that we would never abandon Scottish football.
312|datasets/VCTK-Corpus/wav22/p312/p312_067.wav|Such a city does not exist.
269|datasets/VCTK-Corpus/wav22/p269/p269_170.wav|Mark Fisher was a guest of the Northern Ireland Tourist Board.
308|datasets/VCTK-Corpus/wav22/p308/p308_097.wav|We're not comparing like with like.
318|datasets/VCTK-Corpus/wav22/p318/p318_183.wav|He was made redundant in February last year.
297|datasets/VCTK-Corpus/wav22/p297/p297_179.wav|We just wish they had done so before.
239|datasets/VCTK-Corpus/wav22/p239/p239_226.wav|It certainly feels that way.
252|datasets/VCTK-Corpus/wav22/p252/p252_081.wav|I'd like to report a murder.
341|datasets/VCTK-Corpus/wav22/p341/p341_180.wav|They have learned from that.
258|datasets/VCTK-Corpus/wav22/p258/p258_304.wav|They must play for each other.
330|datasets/VCTK-Corpus/wav22/p330/p330_365.wav|You guys are not out of it yet.
260|datasets/VCTK-Corpus/wav22/p260/p260_019.wav|Finally, he paid for the movie.
302|datasets/VCTK-Corpus/wav22/p302/p302_018.wav|He now describes himself as Scottish Labour.
307|datasets/VCTK-Corpus/wav22/p307/p307_017.wav|His female companion was being treated for shock.
312|datasets/VCTK-Corpus/wav22/p312/p312_011.wav|He can do everything.
280|datasets/VCTK-Corpus/wav22/p280/p280_253.wav|Scottish football yesterday appeared ready to line up alongside the Scotland manager.
326|datasets/VCTK-Corpus/wav22/p326/p326_113.wav|Our position is clear.
302|datasets/VCTK-Corpus/wav22/p302/p302_247.wav|You, the British people, are the boss.
308|datasets/VCTK-Corpus/wav22/p308/p308_407.wav|I was surprised by his response.
284|datasets/VCTK-Corpus/wav22/p284/p284_151.wav|It's hard enough for a father, anyway, and I was forever grateful.
239|datasets/VCTK-Corpus/wav22/p239/p239_399.wav|Gordon Marshall was outstanding against us.
333|datasets/VCTK-Corpus/wav22/p333/p333_306.wav|It was important to win the singles.
252|datasets/VCTK-Corpus/wav22/p252/p252_337.wav|He would add value.
274|datasets/VCTK-Corpus/wav22/p274/p274_285.wav|We will deliver at director level.)
275|datasets/VCTK-Corpus/wav22/p275/p275_075.wav|He will be judged by his actions.
334|datasets/VCTK-Corpus/wav22/p334/p334_242.wav|It was totally my fault.
232|datasets/VCTK-Corpus/wav22/p232/p232_109.wav|It's not long enough.
281|datasets/VCTK-Corpus/wav22/p281/p281_053.wav|We have to be very, very careful.
314|datasets/VCTK-Corpus/wav22/p314/p314_237.wav|Our customers come first.
261|datasets/VCTK-Corpus/wav22/p261/p261_023.wav|It was a pre-emptive strike.
232|datasets/VCTK-Corpus/wav22/p232/p232_024.wav|It is set in Paris.
300|datasets/VCTK-Corpus/wav22/p300/p300_374.wav|Scottish Athletics is opposed to permitting a move.
310|datasets/VCTK-Corpus/wav22/p310/p310_076.wav|Some have accepted it as a miracle without any physical explanation.
282|datasets/VCTK-Corpus/wav22/p282/p282_281.wav|It is rubbish.
329|datasets/VCTK-Corpus/wav22/p329/p329_082.wav|That is just a load of baloney.
287|datasets/VCTK-Corpus/wav22/p287/p287_299.wav|Is it worth it ?
261|datasets/VCTK-Corpus/wav22/p261/p261_404.wav|Phil Mickelson did that last year.
252|datasets/VCTK-Corpus/wav22/p252/p252_029.wav|He too started on the subs seats.
301|datasets/VCTK-Corpus/wav22/p301/p301_402.wav|Motherwell have no such good fortune.
363|datasets/VCTK-Corpus/wav22/p363/p363_274.wav|Only two things are certain.
330|datasets/VCTK-Corpus/wav22/p330/p330_011.wav|It was a very difficult decision for us.
334|datasets/VCTK-Corpus/wav22/p334/p334_001.wav|He spoke about the choices facing them, and their country.
231|datasets/VCTK-Corpus/wav22/p231/p231_219.wav|It is much as it has been described.
247|datasets/VCTK-Corpus/wav22/p247/p247_239.wav|It wouldn't matter if he had.)
310|datasets/VCTK-Corpus/wav22/p310/p310_151.wav|It is a decision which has paid off.
249|datasets/VCTK-Corpus/wav22/p249/p249_168.wav|You had better believe it.
364|datasets/VCTK-Corpus/wav22/p364/p364_095.wav|You make the choice.
326|datasets/VCTK-Corpus/wav22/p326/p326_162.wav|It was my shortest audition.
276|datasets/VCTK-Corpus/wav22/p276/p276_093.wav|It seems a waste of talents.
351|datasets/VCTK-Corpus/wav22/p351/p351_327.wav|I have not seen the term immediate.
374|datasets/VCTK-Corpus/wav22/p374/p374_118.wav|This is certainly not the case.
330|datasets/VCTK-Corpus/wav22/p330/p330_154.wav|I didn't want to fall out with anyone.
276|datasets/VCTK-Corpus/wav22/p276/p276_340.wav|Then they scored two goals to win.
306|datasets/VCTK-Corpus/wav22/p306/p306_106.wav|It is like being a qualifier again.
294|datasets/VCTK-Corpus/wav22/p294/p294_227.wav|She has so much to offer.
272|datasets/VCTK-Corpus/wav22/p272/p272_372.wav|It's like a basketball.
283|datasets/VCTK-Corpus/wav22/p283/p283_369.wav|The whole of southern Africa is in the grip of Aids.
251|datasets/VCTK-Corpus/wav22/p251/p251_005.wav|He also launched a new strategy for the agency.
268|datasets/VCTK-Corpus/wav22/p268/p268_373.wav|The wedding date has been set for Orlando in Florida in October.
329|datasets/VCTK-Corpus/wav22/p329/p329_241.wav|A formal decision will be announced within months.
245|datasets/VCTK-Corpus/wav22/p245/p245_010.wav|We decided we would go for a specialist inside centre.
272|datasets/VCTK-Corpus/wav22/p272/p272_243.wav|There's the mix.
316|datasets/VCTK-Corpus/wav22/p316/p316_141.wav|The Greeks used to imagine that it was a sign from the gods to foretell war or heavy rain.
280|datasets/VCTK-Corpus/wav22/p280/p280_042.wav|This is a very common type of bow, one showing mainly red and yellow, with little or no green or blue.
339|datasets/VCTK-Corpus/wav22/p339/p339_286.wav|Just think about the lines.
340|datasets/VCTK-Corpus/wav22/p340/p340_356.wav|Who was that?
360|datasets/VCTK-Corpus/wav22/p360/p360_371.wav|IS Tony Blair on drugs?
272|datasets/VCTK-Corpus/wav22/p272/p272_229.wav|Tommy is not a problem.
258|datasets/VCTK-Corpus/wav22/p258/p258_257.wav|That is very hard, alone.
241|datasets/VCTK-Corpus/wav22/p241/p241_268.wav|When a man looks for something beyond his reach, his friends say he is looking for the pot of gold at the end of the rainbow.
270|datasets/VCTK-Corpus/wav22/p270/p270_022.wav|It's hard to see it.
316|datasets/VCTK-Corpus/wav22/p316/p316_226.wav|There is a review outgoing at the moment.
297|datasets/VCTK-Corpus/wav22/p297/p297_354.wav|They would never let him go.
231|datasets/VCTK-Corpus/wav22/p231/p231_441.wav|It carried a double message.
314|datasets/VCTK-Corpus/wav22/p314/p314_137.wav|There is no openness.
236|datasets/VCTK-Corpus/wav22/p236/p236_092.wav|You must have a government and a good civil service.
334|datasets/VCTK-Corpus/wav22/p334/p334_255.wav|The rubble was right up to the ceiling.
362|datasets/VCTK-Corpus/wav22/p362/p362_398.wav|This is a very common type of bow, one showing mainly red and yellow, with little or no green or blue.
227|datasets/VCTK-Corpus/wav22/p227/p227_036.wav|It could well be military.
304|datasets/VCTK-Corpus/wav22/p304/p304_013.wav|The truth, of course, is very different.
313|datasets/VCTK-Corpus/wav22/p313/p313_232.wav|As if they ever stopped.
263|datasets/VCTK-Corpus/wav22/p263/p263_418.wav|Frankly, it was worth the booking.
231|datasets/VCTK-Corpus/wav22/p231/p231_370.wav|We played them off the pitch.
286|datasets/VCTK-Corpus/wav22/p286/p286_149.wav|We've had an enjoyable adventure.
339|datasets/VCTK-Corpus/wav22/p339/p339_290.wav|First, the programme was unbalanced.
305|datasets/VCTK-Corpus/wav22/p305/p305_162.wav|They really did a great job.
260|datasets/VCTK-Corpus/wav22/p260/p260_133.wav|Who will pay for this?
239|datasets/VCTK-Corpus/wav22/p239/p239_132.wav|This does not create any precedent.
323|datasets/VCTK-Corpus/wav22/p323/p323_069.wav|Last year, it was ligaments in his knee.
266|datasets/VCTK-Corpus/wav22/p266/p266_200.wav|What happened in the summer?
323|datasets/VCTK-Corpus/wav22/p323/p323_050.wav|We didn't enjoy the first game, but today they were excellent.
280|datasets/VCTK-Corpus/wav22/p280/p280_144.wav|One letter from a teacher arrived at Christmas.
250|datasets/VCTK-Corpus/wav22/p250/p250_407.wav|Paterson can afford to be generous.
246|datasets/VCTK-Corpus/wav22/p246/p246_161.wav|I should think so, too.
347|datasets/VCTK-Corpus/wav22/p347/p347_159.wav|Or so it would appear.
284|datasets/VCTK-Corpus/wav22/p284/p284_166.wav|Crucially, though, United were still alive.
343|datasets/VCTK-Corpus/wav22/p343/p343_230.wav|As, indeed, they would be.
361|datasets/VCTK-Corpus/wav22/p361/p361_083.wav|He may not need to force that message.
264|datasets/VCTK-Corpus/wav22/p264/p264_174.wav|Life is still very tough for them.)
363|datasets/VCTK-Corpus/wav22/p363/p363_168.wav|I just had to go for it.
271|datasets/VCTK-Corpus/wav22/p271/p271_047.wav|Six of the asylum seekers left the offices, it was reported.
257|datasets/VCTK-Corpus/wav22/p257/p257_121.wav|The album was widely expected to be a commercial disaster.
361|datasets/VCTK-Corpus/wav22/p361/p361_065.wav|We are in this for the long haul.
283|datasets/VCTK-Corpus/wav22/p283/p283_423.wav|It comes from reflection or thinking.
287|datasets/VCTK-Corpus/wav22/p287/p287_228.wav|It is quite a figure.
273|datasets/VCTK-Corpus/wav22/p273/p273_375.wav|They should take their mobile phones.
277|datasets/VCTK-Corpus/wav22/p277/p277_068.wav|I am extremely cautious.
228|datasets/VCTK-Corpus/wav22/p228/p228_297.wav|She is free.
282|datasets/VCTK-Corpus/wav22/p282/p282_067.wav|It is unique.
294|datasets/VCTK-Corpus/wav22/p294/p294_407.wav|I get on him, he gets on me.
283|datasets/VCTK-Corpus/wav22/p283/p283_294.wav|They had learned from the lessons of the first game.
265|datasets/VCTK-Corpus/wav22/p265/p265_132.wav|They might be broken, but they are not defeated.
305|datasets/VCTK-Corpus/wav22/p305/p305_380.wav|We would welcome a greater emphasis on carcasses.
244|datasets/VCTK-Corpus/wav22/p244/p244_154.wav|However, no further action was taken by police.
318|datasets/VCTK-Corpus/wav22/p318/p318_018.wav|We offered something different.
285|datasets/VCTK-Corpus/wav22/p285/p285_315.wav|From our point of view, the player is free to leave.
299|datasets/VCTK-Corpus/wav22/p299/p299_328.wav|If you could have dinner with anyone, who would it be?
238|datasets/VCTK-Corpus/wav22/p238/p238_349.wav|Crucially, though, United were still alive.
361|datasets/VCTK-Corpus/wav22/p361/p361_246.wav|And they removed a Borderer.
313|datasets/VCTK-Corpus/wav22/p313/p313_093.wav|It was a fiery game.
341|datasets/VCTK-Corpus/wav22/p341/p341_273.wav|What are you going to do exactly?
303|datasets/VCTK-Corpus/wav22/p303/p303_038.wav|This can only help us go forward.
273|datasets/VCTK-Corpus/wav22/p273/p273_071.wav|Further growth will be funded from cash flow.
277|datasets/VCTK-Corpus/wav22/p277/p277_013.wav|Two other men, including the taxi driver, were wounded in the attack.
250|datasets/VCTK-Corpus/wav22/p250/p250_027.wav|The Premier League has been a huge success.
317|datasets/VCTK-Corpus/wav22/p317/p317_079.wav|Ferguson did not hesitate.
314|datasets/VCTK-Corpus/wav22/p314/p314_241.wav|The proposal was rejected.
229|datasets/VCTK-Corpus/wav22/p229/p229_067.wav|Since then physicists have found that it is not reflection, but refraction by the raindrops which causes the rainbows.
308|datasets/VCTK-Corpus/wav22/p308/p308_157.wav|It didn't take long.
298|datasets/VCTK-Corpus/wav22/p298/p298_141.wav|Our idea is to make it entirely Irish.
316|datasets/VCTK-Corpus/wav22/p316/p316_033.wav|So what could be better than becoming a captain?
265|datasets/VCTK-Corpus/wav22/p265/p265_179.wav|It's too horrible to think.
374|datasets/VCTK-Corpus/wav22/p374/p374_422.wav|However, there was hope, and glory too, for Scotland.
360|datasets/VCTK-Corpus/wav22/p360/p360_275.wav|I had to win this race.
258|datasets/VCTK-Corpus/wav22/p258/p258_007.wav|We talk about Mr Michael Johnson, and he is awesome.
241|datasets/VCTK-Corpus/wav22/p241/p241_353.wav|It changed my life.
281|datasets/VCTK-Corpus/wav22/p281/p281_149.wav|Do they think anyone else wants them ?
288|datasets/VCTK-Corpus/wav22/p288/p288_276.wav|This is a question of Islam.
335|datasets/VCTK-Corpus/wav22/p335/p335_021.wav|Only local people are helping.
268|datasets/VCTK-Corpus/wav22/p268/p268_214.wav|The two clubs have agreed the transfer fee.
246|datasets/VCTK-Corpus/wav22/p246/p246_209.wav|I could have got out a long time ago.
303|datasets/VCTK-Corpus/wav22/p303/p303_014.wav|They had previously been on five-day notice.
294|datasets/VCTK-Corpus/wav22/p294/p294_089.wav|O Leary was clearly disgusted.
257|datasets/VCTK-Corpus/wav22/p257/p257_292.wav|Well, it did last time, he was reminded.
227|datasets/VCTK-Corpus/wav22/p227/p227_397.wav|My heart is with the artist.
298|datasets/VCTK-Corpus/wav22/p298/p298_096.wav|I can appear to be nice and lovely.
330|datasets/VCTK-Corpus/wav22/p330/p330_212.wav|Yet the data is compelling.
247|datasets/VCTK-Corpus/wav22/p247/p247_043.wav|Only water is currently allowed.)
301|datasets/VCTK-Corpus/wav22/p301/p301_374.wav|He did not oppose the divorce.
284|datasets/VCTK-Corpus/wav22/p284/p284_176.wav|But no such amendment has been brought before the Scottish Parliament.
300|datasets/VCTK-Corpus/wav22/p300/p300_343.wav|There will be no shortage of quality applicants.
258|datasets/VCTK-Corpus/wav22/p258/p258_083.wav|They had to be cut from the wreckage.
308|datasets/VCTK-Corpus/wav22/p308/p308_033.wav|We're just a family working hard, working seven days a week.
231|datasets/VCTK-Corpus/wav22/p231/p231_036.wav|On Saturday, it was much the same.
351|datasets/VCTK-Corpus/wav22/p351/p351_267.wav|It may not even be possible.
248|datasets/VCTK-Corpus/wav22/p248/p248_105.wav|Failure to comply with the order is likely to result in prison.
292|datasets/VCTK-Corpus/wav22/p292/p292_067.wav|He had come of age.
313|datasets/VCTK-Corpus/wav22/p313/p313_272.wav|Now, that is a good deal.
333|datasets/VCTK-Corpus/wav22/p333/p333_248.wav|My wife is totally behind me on this.
313|datasets/VCTK-Corpus/wav22/p313/p313_063.wav|He got his degree.
336|datasets/VCTK-Corpus/wav22/p336/p336_191.wav|There is a problem.
376|datasets/VCTK-Corpus/wav22/p376/p376_248.wav|"To the Hebrews it was a token that there would be no more universal floods. "
275|datasets/VCTK-Corpus/wav22/p275/p275_429.wav|However, the figures were disputed by the Scottish Prison Service.
225|datasets/VCTK-Corpus/wav22/p225/p225_348.wav|The report was criticised by the Scottish Consumer Council.
335|datasets/VCTK-Corpus/wav22/p335/p335_325.wav|McCall is unlikely to change a winning team.
293|datasets/VCTK-Corpus/wav22/p293/p293_008.wav|I am just looking to God.
245|datasets/VCTK-Corpus/wav22/p245/p245_090.wav|The Prime Minister has a huge regard for Mo.
323|datasets/VCTK-Corpus/wav22/p323/p323_034.wav|Now they have found out the truth.
265|datasets/VCTK-Corpus/wav22/p265/p265_008.wav|We were awful.
227|datasets/VCTK-Corpus/wav22/p227/p227_394.wav|I'm looking for work in Bath and back home in Scotland.
239|datasets/VCTK-Corpus/wav22/p239/p239_274.wav|Tiger is not the norm.
362|datasets/VCTK-Corpus/wav22/p362/p362_079.wav|In the meantime, you just have to get on with it.
256|datasets/VCTK-Corpus/wav22/p256/p256_132.wav|In fact, he was talking about the survival business.
261|datasets/VCTK-Corpus/wav22/p261/p261_279.wav|We have to move forward.
278|datasets/VCTK-Corpus/wav22/p278/p278_102.wav|Which can happen any time.
252|datasets/VCTK-Corpus/wav22/p252/p252_201.wav|Since then physicists have found that it is not reflection, but refraction by the raindrops which causes the rainbows.
288|datasets/VCTK-Corpus/wav22/p288/p288_309.wav|It had all been arranged.
336|datasets/VCTK-Corpus/wav22/p336/p336_215.wav|This is a war over our home.
361|datasets/VCTK-Corpus/wav22/p361/p361_122.wav|We were not consulted regarding this appointment.
292|datasets/VCTK-Corpus/wav22/p292/p292_201.wav|I wish the solutions were as easy.
248|datasets/VCTK-Corpus/wav22/p248/p248_333.wav|He will address the nation this evening.
227|datasets/VCTK-Corpus/wav22/p227/p227_001.wav|Who was she ?
257|datasets/VCTK-Corpus/wav22/p257/p257_090.wav|The whole thing of doing the movie was a risk.
361|datasets/VCTK-Corpus/wav22/p361/p361_169.wav|However we must not be complacent.
248|datasets/VCTK-Corpus/wav22/p248/p248_034.wav|It's never too late.
272|datasets/VCTK-Corpus/wav22/p272/p272_226.wav|Is there a new way forward?
314|datasets/VCTK-Corpus/wav22/p314/p314_106.wav|I look for dancers who are also actors.
268|datasets/VCTK-Corpus/wav22/p268/p268_329.wav|Anyway, the job will be part-time.
306|datasets/VCTK-Corpus/wav22/p306/p306_254.wav|Since then, my life has been turned upside down.
303|datasets/VCTK-Corpus/wav22/p303/p303_126.wav|Except, this time, it seems, he really, really means it.
345|datasets/VCTK-Corpus/wav22/p345/p345_274.wav|I never want to have any children.
243|datasets/VCTK-Corpus/wav22/p243/p243_012.wav|It didn't come as any great surprise.
261|datasets/VCTK-Corpus/wav22/p261/p261_236.wav|He was also married with two children.
374|datasets/VCTK-Corpus/wav22/p374/p374_225.wav|The rest is his own.
363|datasets/VCTK-Corpus/wav22/p363/p363_265.wav|That was certainly the case for the parties.
227|datasets/VCTK-Corpus/wav22/p227/p227_295.wav|The rate of growth in road traffic is already beginning to slow.
298|datasets/VCTK-Corpus/wav22/p298/p298_279.wav|I didn't know the company all that well, or the dancers.
244|datasets/VCTK-Corpus/wav22/p244/p244_174.wav|There is , according to legend, a boiling pot of gold at one end.
230|datasets/VCTK-Corpus/wav22/p230/p230_070.wav|Defensive stocks attracted some interest.
232|datasets/VCTK-Corpus/wav22/p232/p232_214.wav|I was in a position to challenge for this event and didn't.
246|datasets/VCTK-Corpus/wav22/p246/p246_079.wav|We have to pull together, or we will hang apart.
236|datasets/VCTK-Corpus/wav22/p236/p236_097.wav|We have a clean bill of health.
299|datasets/VCTK-Corpus/wav22/p299/p299_296.wav|On that they agree.
293|datasets/VCTK-Corpus/wav22/p293/p293_194.wav|Look at his last couple of records.
